2024-06-30 14:56:40 status unpacked libtasn1-6:amd64 4.16.0-2+deb11u1
2024-06-30 14:56:40 install libtinfo6:amd64 <none> 6.2+20201114-2+deb11u2
2024-06-30 14:56:40 status half-installed libtinfo6:amd64 6.2+20201114-2+deb11u2
2024-06-30 14:56:40 status unpacked libtinfo6:amd64 6.2+20201114-2+deb11u2
2024-06-30 14:56:40 install libtirpc-common:all <none> 1.3.1-1+deb11u1
2024-06-30 14:56:40 status half-installed libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 14:56:40 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 14:56:40 install libtirpc3:amd64 <none> 1.3.1-1+deb11u1
2024-06-30 14:56:40 status half-installed libtirpc3:amd64 1.3.1-1+deb11u1
2024-06-30 14:56:40 status unpacked libtirpc3:amd64 1.3.1-1+deb11u1
2024-06-30 14:56:40 install libudev1:amd64 <none> 247.3-7+deb11u5
2024-06-30 14:56:40 status half-installed libudev1:amd64 247.3-7+deb11u5
2024-06-30 14:56:40 status unpacked libudev1:amd64 247.3-7+deb11u5
2024-06-30 14:56:40 install libunistring2:amd64 <none> 0.9.10-4
2024-06-30 14:56:40 status half-installed libunistring2:amd64 0.9.10-4
2024-06-30 14:56:40 status unpacked libunistring2:amd64 0.9.10-4
2024-06-30 14:56:40 install libuuid1:amd64 <none> 2.36.1-8+deb11u2
2024-06-30 14:56:40 status half-installed libuuid1:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:40 status unpacked libuuid1:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:40 install libxxhash0:amd64 <none> 0.8.0-2
2024-06-30 14:56:40 status half-installed libxxhash0:amd64 0.8.0-2
2024-06-30 14:56:40 status unpacked libxxhash0:amd64 0.8.0-2
2024-06-30 14:56:40 install libzstd1:amd64 <none> 1.4.8+dfsg-2.1
2024-06-30 14:56:40 status half-installed libzstd1:amd64 1.4.8+dfsg-2.1
2024-06-30 14:56:40 status unpacked libzstd1:amd64 1.4.8+dfsg-2.1
2024-06-30 14:56:40 install login:amd64 <none> 1:4.8.1-1
2024-06-30 14:56:40 status half-installed login:amd64 1:4.8.1-1
2024-06-30 14:56:41 status unpacked login:amd64 1:4.8.1-1
2024-06-30 14:56:41 install logsave:amd64 <none> 1.46.2-2
2024-06-30 14:56:41 status half-installed logsave:amd64 1.46.2-2
2024-06-30 14:56:41 status unpacked logsave:amd64 1.46.2-2
2024-06-30 14:56:41 install lsb-base:all <none> 11.1.0
2024-06-30 14:56:41 status half-installed lsb-base:all 11.1.0
2024-06-30 14:56:41 status unpacked lsb-base:all 11.1.0
2024-06-30 14:56:41 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2024-06-30 14:56:41 status half-configured mawk:amd64 1.3.4.20200120-2
2024-06-30 14:56:41 status unpacked mawk:amd64 1.3.4.20200120-2
2024-06-30 14:56:41 status half-installed mawk:amd64 1.3.4.20200120-2
2024-06-30 14:56:41 status unpacked mawk:amd64 1.3.4.20200120-2
2024-06-30 14:56:41 install mount:amd64 <none> 2.36.1-8+deb11u2
2024-06-30 14:56:41 status half-installed mount:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:41 status unpacked mount:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:41 install ncurses-base:all <none> 6.2+20201114-2+deb11u2
2024-06-30 14:56:41 status half-installed ncurses-base:all 6.2+20201114-2+deb11u2
2024-06-30 14:56:41 status unpacked ncurses-base:all 6.2+20201114-2+deb11u2
2024-06-30 14:56:41 install ncurses-bin:amd64 <none> 6.2+20201114-2+deb11u2
2024-06-30 14:56:41 status half-installed ncurses-bin:amd64 6.2+20201114-2+deb11u2
2024-06-30 14:56:41 status unpacked ncurses-bin:amd64 6.2+20201114-2+deb11u2
2024-06-30 14:56:41 install passwd:amd64 <none> 1:4.8.1-1
2024-06-30 14:56:41 status half-installed passwd:amd64 1:4.8.1-1
2024-06-30 14:56:41 status unpacked passwd:amd64 1:4.8.1-1
2024-06-30 14:56:41 upgrade perl-base:amd64 5.32.1-4+deb11u3 5.32.1-4+deb11u3
2024-06-30 14:56:41 status half-configured perl-base:amd64 5.32.1-4+deb11u3
2024-06-30 14:56:41 status unpacked perl-base:amd64 5.32.1-4+deb11u3
2024-06-30 14:56:41 status half-installed perl-base:amd64 5.32.1-4+deb11u3
2024-06-30 14:56:41 status unpacked perl-base:amd64 5.32.1-4+deb11u3
2024-06-30 14:56:41 install sed:amd64 <none> 4.7-1
2024-06-30 14:56:41 status half-installed sed:amd64 4.7-1
2024-06-30 14:56:41 status unpacked sed:amd64 4.7-1
2024-06-30 14:56:41 install sysvinit-utils:amd64 <none> 2.96-7+deb11u1
2024-06-30 14:56:41 status half-installed sysvinit-utils:amd64 2.96-7+deb11u1
2024-06-30 14:56:41 status unpacked sysvinit-utils:amd64 2.96-7+deb11u1
2024-06-30 14:56:41 install tar:amd64 <none> 1.34+dfsg-1+deb11u1
2024-06-30 14:56:41 status half-installed tar:amd64 1.34+dfsg-1+deb11u1
2024-06-30 14:56:42 status unpacked tar:amd64 1.34+dfsg-1+deb11u1
2024-06-30 14:56:42 install tzdata:all <none> 2024a-0+deb11u1
2024-06-30 14:56:42 status half-installed tzdata:all 2024a-0+deb11u1
2024-06-30 14:56:42 status unpacked tzdata:all 2024a-0+deb11u1
2024-06-30 14:56:42 install util-linux:amd64 <none> 2.36.1-8+deb11u2
2024-06-30 14:56:42 status half-installed util-linux:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:42 status unpacked util-linux:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:42 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2+deb11u2
2024-06-30 14:56:42 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2+deb11u2
2024-06-30 14:56:42 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2+deb11u2
2024-06-30 14:56:42 startup packages configure
2024-06-30 14:56:42 configure lsb-base:all 11.1.0 <none>
2024-06-30 14:56:42 status unpacked lsb-base:all 11.1.0
2024-06-30 14:56:42 status half-configured lsb-base:all 11.1.0
2024-06-30 14:56:42 status installed lsb-base:all 11.1.0
2024-06-30 14:56:42 configure libtirpc-common:all 1.3.1-1+deb11u1 <none>
2024-06-30 14:56:42 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 14:56:42 status half-configured libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 14:56:42 status installed libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 14:56:42 configure debian-archive-keyring:all 2021.1.1+deb11u1 <none>
2024-06-30 14:56:42 status unpacked debian-archive-keyring:all 2021.1.1+deb11u1
2024-06-30 14:56:42 status half-configured debian-archive-keyring:all 2021.1.1+deb11u1
2024-06-30 14:56:42 status installed debian-archive-keyring:all 2021.1.1+deb11u1
2024-06-30 14:56:42 configure libaudit-common:all 1:3.0-2 <none>
